"ID";"Onderwijssectoren";"Perioden";"TotaalPubliekeOnderwijsuitgaven_1";"InVanDeTotalePubliekeUitgaven_2";"TotaalRijk_3";"AanOnderwijsinstellingen_4";"AanGemeenten_5";"TotaalStudiefinanciering_6";"Beurzen_7";"Leningen_8";"AanBedrijvenNonProfitInstellingen_9";"UitgavenVanGemeenten_10";"UitgavenVanProvincies_11"
"0";"ISC06";"1995JJ00";" 15664.8";"     9.1";" 14930.7";" 10839.1";"  2175.4";"  1916.3";"  1704.5";"   211.7";"       -";"   729.5";"     4.7"
"1";"ISC06";"1996JJ00";" 16139.9";"    10.3";" 15424.4";" 11000.0";"  2380.3";"  1920.5";"  1632.5";"   288.1";"   123.7";"   707.1";"     8.4"
"2";"ISC06";"1997JJ00";" 16463.9";"    10.1";" 15274.4";" 11141.3";"  2010.8";"  1996.8";"  1587.7";"   409.0";"   125.4";"  1182.9";"     6.7"
"3";"ISC06";"1998JJ00";" 17903.3";"    10.6";" 16472.2";" 12430.6";"  1884.4";"  2019.5";"  1367.9";"   651.8";"   137.8";"  1424.6";"     6.5"
"4";"ISC06";"1999JJ00";" 18905.0";"    10.7";" 17484.8";" 13314.0";"  1950.7";"  2074.3";"  1415.3";"   659.0";"   145.9";"  1414.1";"     6.0"
"5";"ISC06";"2000JJ00";" 20725.0";"    11.2";" 19178.5";" 14234.5";"  2362.8";"  2416.4";"  1587.2";"   829.2";"   164.8";"  1540.0";"     6.6"
"6";"ISC06";"2001JJ00";" 22646.7";"    11.1";" 20730.9";" 15600.0";"  2634.0";"  2318.0";"  1502.5";"   815.5";"   178.8";"  1908.9";"     7.0"
"7";"ISC06";"2002JJ00";" 24084.1";"    11.2";" 21852.6";" 16868.8";"  2562.7";"  2152.1";"  1268.3";"   883.8";"   269.0";"  2223.0";"     8.5"
"8";"ISC06";"2003JJ00";" 25847.8";"    11.5";" 23259.3";" 17924.7";"  2440.6";"  2682.1";"  1689.7";"   992.4";"   211.9";"  2577.4";"    11.0"
"9";"ISC06";"2004JJ00";" 26797.6";"    11.8";" 24120.3";" 18412.2";"  2519.7";"  2986.3";"  1921.5";"  1064.8";"   202.1";"  2667.3";"    10.0"
"10";"ISC06";"2005JJ00";" 28146.8";"    12.2";" 25482.1";" 19813.7";"  2428.3";"  3053.4";"  1863.8";"  1189.6";"   186.8";"  2654.8";"     9.8"
"11";"ISC06";"2006JJ00";" 29484.7";"    12.0";" 27224.9";" 21110.3";"  2165.1";"  3769.3";"  2125.6";"  1643.7";"   180.2";"  2246.5";"    13.2"
"12";"ISC06";"2007JJ00";" 30257.8";"    11.7";" 27857.7";" 22215.4";"  1948.1";"  3456.7";"  1505.0";"  1951.7";"   237.4";"  2388.4";"    11.8"
"13";"ISC06";"2008JJ00";" 32453.2";"    11.8";" 29969.0";" 24009.9";"  1329.2";"  4256.6";"  2294.8";"  1961.8";"   373.2";"  2472.3";"    11.8"
"14";"ISC01";"1995JJ00";"  4616.3";"     2.7";"  4092.8";"  2776.0";"  1316.8";"";"";"";"       -";"   523.5";"     0.0"
"15";"ISC01";"1996JJ00";"  4852.4";"     3.1";"  4323.6";"  2910.3";"  1413.4";"";"";"";"       -";"   527.3";"     1.5"
"16";"ISC01";"1997JJ00";"  5100.1";"     3.1";"  4298.1";"  3001.3";"  1296.8";"";"";"";"       -";"   798.8";"     3.2"
"17";"ISC01";"1998JJ00";"  5720.1";"     3.4";"  4774.5";"  3573.6";"  1200.9";"";"";"";"       -";"   942.5";"     3.1"
"18";"ISC01";"1999JJ00";"  6026.2";"     3.4";"  5089.4";"  3806.1";"  1283.3";"";"";"";"       -";"   933.9";"     2.9"
"19";"ISC01";"2000JJ00";"  6651.1";"     3.6";"  5634.0";"  3941.2";"  1692.8";"";"";"";"       -";"  1014.0";"     3.1"
"20";"ISC01";"2001JJ00";"  7540.4";"     3.7";"  6264.5";"  4325.6";"  1938.9";"";"";"";"       -";"  1272.6";"     3.3"
"21";"ISC01";"2002JJ00";"  8376.5";"     3.9";"  6881.2";"  5051.4";"  1829.8";"";"";"";"       -";"  1491.3";"     4.0"
"22";"ISC01";"2003JJ00";"  9127.3";"     4.1";"  7265.1";"  5637.9";"  1627.2";"";"";"";"       -";"  1857.0";"     5.1"
"23";"ISC01";"2004JJ00";"  9122.8";"     4.0";"  7399.9";"  5715.2";"  1684.7";"";"";"";"       -";"  1718.3";"     4.6"
"24";"ISC01";"2005JJ00";"  9472.7";"     4.1";"  7710.0";"  6204.9";"  1505.1";"";"";"";"       -";"  1758.2";"     4.4"
"25";"ISC01";"2006JJ00";"  9609.3";"     3.9";"  8083.5";"  6721.9";"  1361.6";"";"";"";"       -";"  1519.8";"     5.9"
"26";"ISC01";"2007JJ00";"  9704.0";"     3.7";"  8184.1";"  6983.7";"  1200.4";"";"";"";"       -";"  1514.6";"     5.3"
"27";"ISC01";"2008JJ00";" 10221.8";"     3.7";"  8575.4";"  7758.5";"   816.8";"";"";"";"       -";"  1641.2";"     5.2"
"28";"ISC24";"1995JJ00";"  6014.7";"     3.5";"  5833.0";"  4229.3";"   858.6";"   745.1";"   706.5";"    38.5";"       -";"   177.1";"     4.7"
"29";"ISC24";"1996JJ00";"  6293.7";"     4.0";"  6113.1";"  4250.0";"   946.3";"   794.0";"   741.7";"    52.3";"   122.8";"   174.0";"     6.6"
"30";"ISC24";"1997JJ00";"  6321.0";"     3.9";"  5934.3";"  4266.2";"   714.0";"   829.6";"   806.5";"    23.1";"   124.4";"   384.1";"     2.6"
"31";"ISC24";"1998JJ00";"  7010.5";"     4.1";"  6525.9";"  4809.9";"   683.5";"   896.1";"   862.6";"    33.6";"   136.5";"   482.1";"     2.5"
"32";"ISC24";"1999JJ00";"  7433.7";"     4.2";"  6951.1";"  5273.2";"   667.4";"   866.7";"   842.8";"    23.9";"   143.8";"   480.2";"     2.3"
"33";"ISC24";"2000JJ00";"  8267.3";"     4.5";"  7738.8";"  5906.7";"   670.0";"  1000.5";"   970.4";"    30.1";"   161.6";"   526.0";"     2.6"
"34";"ISC24";"2001JJ00";"  9030.4";"     4.4";"  8391.5";"  6541.3";"   695.1";"   980.5";"   889.4";"    91.1";"   174.5";"   636.3";"     2.7"
"35";"ISC24";"2002JJ00";"  9486.1";"     4.4";"  8751.1";"  6870.5";"   732.9";"   886.1";"   789.0";"    97.1";"   261.5";"   731.7";"     3.3"
"36";"ISC24";"2003JJ00";"  9952.2";"     4.4";"  9227.5";"  7164.7";"   813.4";"  1044.2";"   920.7";"   123.4";"   205.2";"   720.4";"     4.3"
"37";"ISC24";"2004JJ00";" 10549.3";"     4.7";"  9596.4";"  7371.5";"   835.0";"  1195.0";"  1114.9";"    80.1";"   194.9";"   949.0";"     3.9"
"38";"ISC24";"2005JJ00";" 11138.1";"     4.8";" 10237.6";"  8020.9";"   923.2";"  1114.1";"  1006.4";"   107.7";"   179.5";"   896.6";"     3.9"
"39";"ISC24";"2006JJ00";" 11765.0";"     4.8";" 11033.0";"  8677.2";"   803.5";"  1379.3";"  1132.0";"   247.3";"   173.0";"   726.7";"     5.3"
"40";"ISC24";"2007JJ00";" 12309.8";"     4.8";" 11431.4";"  9209.1";"   747.7";"  1245.9";"   770.8";"   475.1";"   228.6";"   873.8";"     4.7"
"41";"ISC24";"2008JJ00";" 13251.6";"     4.8";" 12415.7";"  9910.4";"   512.4";"  1645.7";"  1234.8";"   410.9";"   347.2";"   831.1";"     4.7"
"42";"ISC56";"1995JJ00";"  5033.8";"     2.9";"  5004.9";"  3833.8";"       -";"  1171.2";"   998.0";"   173.2";"       -";"    28.9";"     0.0"
"43";"ISC56";"1996JJ00";"  4993.8";"     3.2";"  4987.7";"  3839.7";"    20.6";"  1126.5";"   890.8";"   235.8";"     0.9";"     5.8";"     0.3"
"44";"ISC56";"1997JJ00";"  5042.8";"     3.1";"  5042.0";"  3873.8";"       -";"  1167.2";"   781.2";"   385.9";"     1.0";"       -";"     0.9"
"45";"ISC56";"1998JJ00";"  5172.7";"     3.1";"  5171.8";"  4047.1";"       -";"  1123.4";"   505.3";"   618.2";"     1.3";"       -";"     0.9"
"46";"ISC56";"1999JJ00";"  5445.1";"     3.1";"  5444.3";"  4234.7";"       -";"  1207.6";"   572.5";"   635.1";"     2.1";"       -";"     0.8"
"47";"ISC56";"2000JJ00";"  5806.6";"     3.1";"  5805.7";"  4386.6";"       -";"  1415.9";"   616.8";"   799.1";"     3.2";"       -";"     0.9"
"48";"ISC56";"2001JJ00";"  6075.9";"     3.0";"  6074.9";"  4733.1";"       -";"  1337.5";"   613.1";"   724.4";"     4.3";"       -";"     1.0"
"49";"ISC56";"2002JJ00";"  6221.5";"     2.9";"  6220.3";"  4946.9";"       -";"  1266.0";"   479.3";"   786.7";"     7.5";"       -";"     1.2"
"50";"ISC56";"2003JJ00";"  6768.3";"     3.0";"  6766.7";"  5122.1";"       -";"  1637.9";"   769.0";"   869.0";"     6.7";"       -";"     1.6"
"51";"ISC56";"2004JJ00";"  7125.5";"     3.1";"  7124.0";"  5325.5";"       -";"  1791.3";"   806.6";"   984.7";"     7.2";"       -";"     1.5"
"52";"ISC56";"2005JJ00";"  7536.0";"     3.3";"  7534.5";"  5587.9";"       -";"  1939.3";"   857.4";"  1081.9";"     7.3";"       -";"     1.5"
"53";"ISC56";"2006JJ00";"  8110.4";"     3.3";"  8108.4";"  5711.2";"       -";"  2390.0";"   993.6";"  1396.4";"     7.2";"       -";"     2.0"
"54";"ISC56";"2007JJ00";"  8244.0";"     3.2";"  8242.2";"  6022.6";"       -";"  2210.8";"   734.2";"  1476.6";"     8.8";"       -";"     1.8"
"55";"ISC56";"2008JJ00";"  8979.8";"     3.3";"  8977.9";"  6341.0";"       -";"  2610.9";"  1060.0";"  1550.9";"    26.0";"       -";"     1.9"
