"ID";"Onderwijssectoren";"Perioden";"TotaalPubliekeOnderwijsuitgaven_1";"InVanDeTotalePubliekeUitgaven_2";"TotaalRijk_3";"AanOnderwijsinstellingen_4";"AanGemeenten_5";"TotaalStudiefinanciering_6";"Beurzen_7";"Leningen_8";"AanBedrijvenNonProfitInstellingen_9";"UitgavenVanGemeenten_10";"UitgavenVanProvincies_11"
"14";"ISC01";"1995JJ00";"  4616.3";"     2.7";"  4092.8";"  2776.0";"  1316.8";"";"";"";"       -";"   523.5";"     0.0"
"15";"ISC01";"1996JJ00";"  4852.4";"     3.1";"  4323.6";"  2910.3";"  1413.4";"";"";"";"       -";"   527.3";"     1.5"
"16";"ISC01";"1997JJ00";"  5100.1";"     3.1";"  4298.1";"  3001.3";"  1296.8";"";"";"";"       -";"   798.8";"     3.2"
"17";"ISC01";"1998JJ00";"  5720.1";"     3.4";"  4774.5";"  3573.6";"  1200.9";"";"";"";"       -";"   942.5";"     3.1"
"18";"ISC01";"1999JJ00";"  6026.2";"     3.4";"  5089.4";"  3806.1";"  1283.3";"";"";"";"       -";"   933.9";"     2.9"
"19";"ISC01";"2000JJ00";"  6651.1";"     3.6";"  5634.0";"  3941.2";"  1692.8";"";"";"";"       -";"  1014.0";"     3.1"
"20";"ISC01";"2001JJ00";"  7540.4";"     3.7";"  6264.5";"  4325.6";"  1938.9";"";"";"";"       -";"  1272.6";"     3.3"
"21";"ISC01";"2002JJ00";"  8376.5";"     3.9";"  6881.2";"  5051.4";"  1829.8";"";"";"";"       -";"  1491.3";"     4.0"
"22";"ISC01";"2003JJ00";"  9127.3";"     4.1";"  7265.1";"  5637.9";"  1627.2";"";"";"";"       -";"  1857.0";"     5.1"
"23";"ISC01";"2004JJ00";"  9122.8";"     4.0";"  7399.9";"  5715.2";"  1684.7";"";"";"";"       -";"  1718.3";"     4.6"
"24";"ISC01";"2005JJ00";"  9472.7";"     4.1";"  7710.0";"  6204.9";"  1505.1";"";"";"";"       -";"  1758.2";"     4.4"
"25";"ISC01";"2006JJ00";"  9609.3";"     3.9";"  8083.5";"  6721.9";"  1361.6";"";"";"";"       -";"  1519.8";"     5.9"
"26";"ISC01";"2007JJ00";"  9704.0";"     3.7";"  8184.1";"  6983.7";"  1200.4";"";"";"";"       -";"  1514.6";"     5.3"
"27";"ISC01";"2008JJ00";" 10221.8";"     3.7";"  8575.4";"  7758.5";"   816.8";"";"";"";"       -";"  1641.2";"     5.2"
