PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2017;2018;2019;2020;2021
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;wo master;man;0;8;8;8;14
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;wo master;vrouw;0;8;16;21;23
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Cultural Geography;voltijd onderwijs;wo master;man;<5;6;9;5;7
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Cultural Geography;voltijd onderwijs;wo master;vrouw;8;8;10;11;12
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;wo master;man;0;<5;6;<5;<5
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;wo master;vrouw;0;<5;<5;<5;5
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;wo bachelor;man;0;0;0;<5;17
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;wo bachelor;vrouw;0;0;0;13;31
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;60472;M Voice Technology;voltijd onderwijs;wo master;man;0;0;0;0;<5
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;60472;M Voice Technology;voltijd onderwijs;wo master;vrouw;0;0;0;0;6
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;wo master;man;<5;<5;<5;0;<5
