"ID";"Onderwijssectoren";"Perioden";"TotaalPubliekeOnderwijsuitgaven_1";"InVanDeTotalePubliekeUitgaven_2";"TotaalRijk_3";"AanOnderwijsinstellingen_4";"AanGemeenten_5";"TotaalStudiefinanciering_6";"Beurzen_7";"Leningen_8";"AanBedrijvenNonProfitInstellingen_9";"UitgavenVanGemeenten_10";"UitgavenVanProvincies_11"
"28";"ISC24";"1995JJ00";"  6014.7";"     3.5";"  5833.0";"  4229.3";"   858.6";"   745.1";"   706.5";"    38.5";"       -";"   177.1";"     4.7"
"29";"ISC24";"1996JJ00";"  6293.7";"     4.0";"  6113.1";"  4250.0";"   946.3";"   794.0";"   741.7";"    52.3";"   122.8";"   174.0";"     6.6"
"30";"ISC24";"1997JJ00";"  6321.0";"     3.9";"  5934.3";"  4266.2";"   714.0";"   829.6";"   806.5";"    23.1";"   124.4";"   384.1";"     2.6"
"31";"ISC24";"1998JJ00";"  7010.5";"     4.1";"  6525.9";"  4809.9";"   683.5";"   896.1";"   862.6";"    33.6";"   136.5";"   482.1";"     2.5"
"32";"ISC24";"1999JJ00";"  7433.7";"     4.2";"  6951.1";"  5273.2";"   667.4";"   866.7";"   842.8";"    23.9";"   143.8";"   480.2";"     2.3"
"33";"ISC24";"2000JJ00";"  8267.3";"     4.5";"  7738.8";"  5906.7";"   670.0";"  1000.5";"   970.4";"    30.1";"   161.6";"   526.0";"     2.6"
"34";"ISC24";"2001JJ00";"  9030.4";"     4.4";"  8391.5";"  6541.3";"   695.1";"   980.5";"   889.4";"    91.1";"   174.5";"   636.3";"     2.7"
"35";"ISC24";"2002JJ00";"  9486.1";"     4.4";"  8751.1";"  6870.5";"   732.9";"   886.1";"   789.0";"    97.1";"   261.5";"   731.7";"     3.3"
"36";"ISC24";"2003JJ00";"  9952.2";"     4.4";"  9227.5";"  7164.7";"   813.4";"  1044.2";"   920.7";"   123.4";"   205.2";"   720.4";"     4.3"
"37";"ISC24";"2004JJ00";" 10549.3";"     4.7";"  9596.4";"  7371.5";"   835.0";"  1195.0";"  1114.9";"    80.1";"   194.9";"   949.0";"     3.9"
"38";"ISC24";"2005JJ00";" 11138.1";"     4.8";" 10237.6";"  8020.9";"   923.2";"  1114.1";"  1006.4";"   107.7";"   179.5";"   896.6";"     3.9"
"39";"ISC24";"2006JJ00";" 11765.0";"     4.8";" 11033.0";"  8677.2";"   803.5";"  1379.3";"  1132.0";"   247.3";"   173.0";"   726.7";"     5.3"
"40";"ISC24";"2007JJ00";" 12309.8";"     4.8";" 11431.4";"  9209.1";"   747.7";"  1245.9";"   770.8";"   475.1";"   228.6";"   873.8";"     4.7"
"41";"ISC24";"2008JJ00";" 13251.6";"     4.8";" 12415.7";"  9910.4";"   512.4";"  1645.7";"  1234.8";"   410.9";"   347.2";"   831.1";"     4.7"
