SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0131;ak;aardrijkskunde; ;0;0;22;6,7;22;6,7;22;6,2;22;6,2;6,5
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0161;in;informatica; ;0;0;22;7,4;0;,0;0;,0;0;,0;7,5
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0260;mu;muziek; ;0;0;5;6,7;5;6,7;5;6,3;5;6,3;6,2
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0270;te;tekenen; ;0;0;14;7,0;14;7,0;14;6,2;14;6,2;6,5
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding;G;40;40;0;,0;0;,0;0;,0;0;,0;,0
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding;V;53;53;0;,0;0;,0;0;,0;0;,0;,0
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0400;beco;bedrijfseconomie; ;0;0;39;6,5;39;6,5;39;6,0;39;6,0;6,3
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1001;netl;Nederlandse taal en literatuur; ;0;0;94;6,5;94;6,5;94;6,0;94;6,0;6,3
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1002;entl;Engelse taal en literatuur; ;0;0;92;7,1;92;7,1;92;7,1;92;7,1;7,1
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1003;fatl;Franse taal en literatuur; ;0;0;16;6,0;16;6,0;16;6,2;16;6,2;6,2
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1004;dutl;Duitse taal en literatuur; ;0;0;41;6,7;41;6,7;41;6,3;41;6,3;6,5
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1018;biol;biologie; ;0;0;55;6,4;55;6,4;55;6,1;55;6,1;6,3
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1019;maat;maatschappijleer; ;0;0;93;7,5;0;,0;0;,0;0;,0;7,5
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1020;ckv;culturele en kunstzinnige vorming; ;0;0;46;7,3;0;,0;0;,0;0;,0;7,4
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1021;ges;geschiedenis; ;0;0;26;6,6;26;6,6;26;5,6;26;5,6;6,2
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1022;econ;economie; ;0;0;23;6,5;23;6,5;23;5,7;23;5,7;6,2
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1023;nat;natuurkunde; ;0;0;65;6,4;65;6,4;65;6,3;65;6,3;6,3
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1024;wisA;wiskunde A; ;0;0;55;6,1;55;6,1;55;6,3;55;6,3;6,2
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1025;wisB;wiskunde B; ;0;0;40;6,2;40;6,2;40;6,3;40;6,3;6,3
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1027;wisD;wiskunde D; ;0;0;12;6,7;0;,0;0;,0;0;,0;6,9
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1028;schk;scheikunde; ;0;0;68;6,3;68;6,3;68;6,0;68;6,0;6,2
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1032;kudr;kunst (drama); ;0;0;4;7,8;4;7,8;4;6,9;4;6,9;7,5
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1036;hndv;handvaardigheid; ;0;0;1;7,0;1;7,0;1;7,1;1;7,1;7,0
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1038;bsm;bewegen, sport en maatschappij; ;0;0;11;6,7;0;,0;0;,0;0;,0;6,6
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1110;ltc;Latijnse taal en cultuur; ;0;0;29;7,0;29;7,0;29;6,1;29;6,1;6,5
2021;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1111;gtc;Griekse taal en cultuur; ;0;0;19;5,5;19;5,5;19;5,2;19;5,2;5,3
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0131;ak;aardrijkskunde; ;0;0;9;6,6;9;6,6;9;6,1;9;6,1;6,2
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0270;te;tekenen; ;0;0;7;6,8;7;6,8;7;6,5;7;6,5;6,6
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding;G;15;15;0;,0;0;,0;0;,0;0;,0;,0
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding;V;16;16;0;,0;0;,0;0;,0;0;,0;,0
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0400;beco;bedrijfseconomie; ;0;0;3;6,3;3;6,3;3;5,5;3;5,5;6,0
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1001;netl;Nederlandse taal en literatuur; ;0;0;34;6,6;34;6,6;34;5,6;34;5,6;6,0
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1002;entl;Engelse taal en literatuur; ;0;0;34;6,8;34;6,8;34;6,3;34;6,3;6,5
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1003;fatl;Franse taal en literatuur; ;0;0;9;7,1;9;7,1;9;5,2;9;5,2;6,3
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1004;dutl;Duitse taal en literatuur; ;0;0;23;6,6;23;6,6;23;5,0;23;5,0;5,7
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1018;biol;biologie; ;0;0;24;6,2;24;6,2;24;5,7;24;5,7;6,0
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1019;maat;maatschappijleer; ;0;0;27;7,9;0;,0;0;,0;0;,0;8,1
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1020;ckv;culturele en kunstzinnige vorming; ;0;0;27;7,2;0;,0;0;,0;0;,0;7,2
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1021;ges;geschiedenis; ;0;0;12;6,4;12;6,4;12;4,3;12;4,3;5,3
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1022;econ;economie; ;0;0;22;6,1;22;6,1;22;4,6;22;4,6;5,5
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1023;nat;natuurkunde; ;0;0;19;6,3;19;6,3;19;5,6;19;5,6;5,9
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1024;wisA;wiskunde A; ;0;0;20;6,1;20;6,1;20;5,5;20;5,5;5,7
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1025;wisB;wiskunde B; ;0;0;14;6,2;14;6,2;14;5,0;14;5,0;5,6
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1028;schk;scheikunde; ;0;0;22;6,4;22;6,4;22;6,2;22;6,2;6,3
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1034;maw;maatschappijwetenschappen; ;0;0;9;6,5;9;6,5;9;5,8;9;5,8;6,2
2021;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1038;bsm;bewegen, sport en maatschappij; ;0;0;11;7,6;0;,0;0;,0;0;,0;7,6
2021;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;VWO;0131;ak;aardrijkskunde; ;0;0;5;6,8;5;6,8;5;6,4;5;6,4;6,6
2021;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;VWO;0353;lo;lichamelijke opvoeding;G;2;2;0;,0;0;,0;0;,0;0;,0;,0
2021;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;VWO;0353;lo;lichamelijke opvoeding;V;15;15;0;,0;0;,0;0;,0;0;,0;,0
2021;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;VWO;0400;beco;bedrijfseconomie; ;0;0;4;6,4;4;6,4;4;6,2;4;6,2;6,0
