"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2013",89.698,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2014",91.439,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2015",97.712,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2016",97.517,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2017",96.935,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2018",89.49,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2019",93.571,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2020",93.65,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2013",73.88,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2014",74.777,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2015",82.944,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2016",80.745,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2017",77.962,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2018",68.628,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2019",75.695,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2020",71.706,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2013",69.911,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2014",69.923,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2015",78.044,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2016",76.587,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2017",74.28,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2018",64.363,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2019",73.065,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2020",68.527,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2013",88.599,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2014",89.16,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2015",89.204,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2016",86.831,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2017",86.632,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2018",87.348,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2019",87.949,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2020",88.231,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2013",74.026,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2014",74.123,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2015",74.637,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2016",72.917,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2017",72.428,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2018",73.259,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2019",74.344,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2020",74.321,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2013",51.187,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2014",51.637,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2015",52.294,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2016",51.687,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2017",51.895,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2018",52.343,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2019",53.653,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2020",54.417,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2013",98.596,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2014",97.374,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2015",96.959,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2016",96.971,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2017",98.644,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2018",98.585,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2019",98.332,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2020",98.438,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2013",83.583,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2014",89.289,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2015",88.084,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2016",90.104,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2017",93.523,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2018",91.234,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2019",92.023,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2020",89.422,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2013",79.803,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2014",79.843,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2015",79.321,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2016",81.844,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2017",85.633,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2018",83.119,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2019",83.793,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2020",80.836,
