"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2000",0.1904232,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2005",0.1830307,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2008",0.1928566,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2009",0.1955874,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2010",0.2000793,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2011",0.2029941,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.2140205,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.2203336,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.2245557,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.2252652,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2016",0.2265947,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2017",0.2286606,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2018",0.2218283,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2019",0.2229658,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2020",0.2022731,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.7484281,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.8287115,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.8444961,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.882858,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.8967082,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.885928,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.8811557,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.9729007,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2014",1.133321,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2015",1.264779,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2016",1.157713,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2017",1.287303,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2018",1.230631,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2019",1.275049,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2020",1.195328,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.0286256,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.0311486,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.036178,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.0392007,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2016",0.0395232,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2017",0.036103,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2018",0.0392092,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2019",0.0403994,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2020",0.0386116,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.0848139,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.0941667,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.0952197,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.1085892,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.1120239,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.1524991,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.1829094,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2019",0.1927455,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2020",0.184251,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.0497621,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.0501179,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.0499532,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.0491368,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2016",0.0498287,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2017",0.0490122,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2018",0.0474087,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2019",0.0476007,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2020",0.0489663,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.1106903,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.125309,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.1382482,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.1357874,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.1338093,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.1881216,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.198055,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.2019454,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.1996522,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.2148424,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.2112214,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.2010002,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2019",0.1900409,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2020",0.2116795,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2000",0.2640677,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2005",0.3499062,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2008",0.3910717,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2009",0.3982065,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2010",0.4076982,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2011",0.1984932,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.1838684,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.1838904,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.1887863,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.1888979,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2016",0.1930033,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2017",0.202714,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2018",0.1951077,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2019",0.2205586,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2020",0.172839,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.9490469,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2005",1.092758,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.9002502,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2009",1.136901,
