"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2000",0.7445396,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2005",0.6893852,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2008",0.6893996,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2009",0.7347594,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2010",0.7784705,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2011",0.7434117,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2012",0.7191992,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2013",0.718812,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2014",0.7172999,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2015",0.7692901,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2016",0.7565911,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2017",0.7292825,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2018",0.6566339,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2019",0.6475591,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2020",0.6804412,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2012",1.661568,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2013",1.644516,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2014",1.614541,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2015",1.634081,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2016",1.631474,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2017",1.560725,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2018",1.552325,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2019",1.557053,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2020",1.637095,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2005",1.0897,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2008",1.128475,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2009",1.226435,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2010",1.208465,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2011",1.214926,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.23873,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2013",1.276725,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2014",1.267146,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2015",1.221587,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2016",1.231372,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2017",1.252936,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2018",1.269149,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2019",1.277785,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2020",1.373827,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2000",1.485331,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2005",1.338613,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2008",1.524971,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2009",1.480583,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2010",1.578337,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2011",1.426457,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2012",1.326726,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2013",1.281192,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2014",1.238263,
