"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GRADRATE","UPPSRY","PC","A","2010",84.21,
"AUT","GRADRATE","UPPSRY","PC","A","2011",83.621,
"AUT","GRADRATE","UPPSRY","PC","A","2012",84.955,
"AUT","GRADRATE","UPPSRY","PC","A","2013",83.765,
"AUT","GRADRATE","UPPSRY","PC","A","2014",83.544,
"AUT","GRADRATE","UPPSRY","PC","A","2015",84.035,
"AUT","GRADRATE","UPPSRY","PC","A","2016",80.558,
"AUT","GRADRATE","UPPSRY","PC","A","2017",79.412,
"AUT","GRADRATE","UPPSRY","PC","A","2018",77.873,
"AUT","GRADRATE","UPPSRY","PC","A","2019",77.636,
"AUT","GRADRATE","UPPSRY","PC","A","2020",82.779,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2010",82.683,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2011",82.723,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2012",84.211,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2013",82.289,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2014",82.026,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2015",82.881,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2016",77.456,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2017",76.234,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2018",75.389,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2019",74.74,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2020",79.413,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2010",85.982,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2011",84.6,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2012",85.71,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2013",85.334,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2014",85.176,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2015",85.274,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2016",84.108,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2017",82.961,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2018",80.525,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2019",80.682,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2020",86.306,
"BEL","GRADRATE","UPPSRY","PC","A","2016",31.248,
