Country_Code,Year,Private_Spending,Public_Spending,Total_Spending,Mean_Graduation_Value
ARG,2000,0.897965,3.249727,4.147692,
ARG,2008,0.6279625,3.561938,4.1899005,
ARG,2009,0.6657345,4.022185,4.6879195000000005,
ARG,2010,0.830049,3.636445,4.466494,
ARG,2011,0.7394185,3.825775,4.5651935,
AUS,2000,1.2502893,3.14239,4.392679299999999,
AUS,2005,1.2907502000000002,3.225514,4.5162642,
AUS,2008,1.3743980000000002,3.169325,4.543723,
AUS,2009,1.3780277,3.558342,4.9363697,
AUS,2010,1.396769,3.788551,5.18532,
AUS,2011,1.4328633,3.489743,4.9226063,
AUS,2012,1.7321955999999998,3.295539,5.0277346000000005,
AUS,2013,1.8179234000000002,3.257943,5.075866400000001,
AUS,2014,1.6312828000000001,3.206929,4.8382118,
AUS,2015,1.6628438,3.18198,4.8448238,
AUS,2016,1.6713564,3.193161,4.8645174,
AUS,2017,1.6955418,3.23138,4.926921800000001,
AUS,2018,1.6398223,3.307333,4.9471553,
AUS,2019,1.6759889000000001,3.421575,5.0975639,
AUS,2020,1.47749397,3.685792,5.1632859700000004,
AUT,2012,0.3423457,2.993731,3.3360767,84.955
AUT,2013,0.3435124,3.071253,3.4147654,83.765
AUT,2014,0.362508,2.979963,3.342471,83.544
AUT,2015,0.3768838,2.980174,3.3570577999999998,84.035
AUT,2016,0.3785723,2.988191,3.3667633,80.558
AUT,2017,0.3557194,2.941086,3.2968053999999998,79.412
AUT,2018,0.35606879999999996,2.827367,3.1834358000000003,77.873
AUT,2019,0.3682954,2.800769,3.1690644,77.636
AUT,2020,0.35745821,2.9595871,3.3170453099999997,82.779
BEL,2005,0.420361,3.882769,4.30313,
BEL,2008,0.4200642,4.143592,4.5636562,
BEL,2009,0.4147988,4.152045,4.5668438,
BEL,2010,0.3468392,4.142179,4.489018199999999,
BEL,2011,0.3255532,4.129149,4.4547022,
BEL,2012,0.2769593,4.176546,4.4535053,
BEL,2013,0.2790876,4.183889,4.462976599999999,
BEL,2014,0.2731861,4.121513,4.3946991,
BEL,2015,0.26583840000000003,4.053206,4.3190444,
